Name,GC_Content,Length,Contigs
data\RUG240,30.961476435636854,1888169,284
data\RUG321,48.46958793300822,1982930,180
data\RUG368,46.848620208618,1958412,285
data\RUG796,54.9177068515421,2047072,265
